"DG2xFkPdDwKUoBkzGAhQtLpSGzfXLiCYPEzeKH2Ad24p","XTN"
"WAVES","WAVES"
"AP4Cb5xLYGH6ZigHreCZHoXpQTWDkPsG2BHqfDUx6taJ","ROME"
"7scqyYoVsNrpWbTAc78eRqNVcYLxMPzZs8EQfX7ruJAg","L2MP"
"Atqv59EYzjFGuitKVnMRk6H8FukjoV3ktPorbEys25on","WX"
"6nSpVyNH7yM69eg446wrQR94ipbbcmZMU1ENPwanC97g","NSBT"
"DSbbhLsSTeDg5Lsiufk2Aneh3DjVqJuPr2M9uU1gwy5p","VIRES"
"8DLiYZjo3UUaRBTHU7Ayoqg4ihwb6YH1AfXrrhdjQ7K1","BUSD-WGX"
"34N9YcEETLWn93qYQ64EsP1x89tSruJU44RrEMSXXEPJ","USDT-WGX"
"6XtHjpXbs9RRJP2Sr9GUyVqzACcby9TkThHXnjVC5CDJ","USDC-WGX"
"474jTeYx2r2Va35794tCScAXWJG9hU2HcgxzMowaZUnu","ETH-WXG"
"8LQW8f7P5d5PZM7GtZEBgaqRPGSzS3DfPuiXrURJ4AJS","BTC-WGX"
"8zUYbdB8Q6mDhpcXYv52ji8ycfj4SDX4gJXS7YY3dA4R","DAI-WGX"
"3KhNcHo4We1G5EWps7b1e5DTdLgWDzctc8S6ynu37KAb","CRV WXG"
"Ehie5xYpeN8op1Cctc6aGUrqx8jq3jtf1DSjXDbfm7aT","SWOP"
"4LHHvYGNKJUg5hj65aGD5vgScvCBmLpdRFtjokvCjSL8","WEST"
"C1iWsKGqLwjHUndiQ7iXpdmPum9PeCDFfyXBdJJosDRS","EGG"
"2Fge5HEBRD3XTeg7Xg3FW5yiB9HVJFQtMXiWMQo72Up6","WBTC-PPT"
"EW1uGLVo21Wd9i2Rhq8o4VKDTCQTGCGXE8DqayHGrLg8","BTCB-BSC-PPT"
"3UHgFQECoynwC3iunYBnbhzmcCzC5gVnVZMv8Yw1bneK","EAST"
"2thsACuHmzDMuNezPM32wg9a3BwUzBWDeSKakgz3cw21","POWER"
"8KEtor9aSsSj38MknyAE7k1uRThHY9prAXgiE4D7WpyL","VVXTNLP"
"At8D6NFFpheCbvKVnjVoeLL84Eo8NZn6ovManxfLaFWL","SURF"
"HEB8Qaw9xrWpWs8tHsiATYGBWDBtP2S7kcPALrMu43AS","PUZZLE"
"8t4DPWTwPzpatHA9AkTxWAB47THnYzBsDnoY7fQqbG91","TSN"
"bPWkA3MNyEr1TuDchWgdpqJZhGhfPXj7dJdr3qiW2kD","TN"
"Ajso6nTTjptu2UHLx6hfSXVtHFtRBJCkKYd5SAyj7zf5","PLUTO"
"GAzAEjApmjMYZKPzri2g2VUXNvTiQGF7KDYZFFsP3AEq","PETE"
"9sQutD5HnRvjM1uui5cVC4w9xkMPAfYEV8ymug3Mon2Y","SIGN"
"D4TPjtzpsDEJFS1pUAkvh1tJJJMNWGcSrds9sveBoQka","RACE"
"7LMV3s1J4dKpMQZqge5sKYoFkZRLojnnU49aerqos4yg","ENNO"
"DHgwrRvVyqJsepd32YbBqUeDH4GJ1N984X8QoekjgH8J","WCT"
"HGgabTqUS8WtVFUJzfmrTDMgEccJuZLBPhFgQFxvnsoW","USDC-ERC20-PPT"
"3VuV5WTmDz47Dmdn3QpcYjzbSdipjQE4JMdNe1xZpX13","ETH-Ethereum-PPT"
"9wc3LXNA4TEBsXyKtoLE9mrbDD7WMHXvXrCjZvabLAsi","USDT-ERC20-PPT"
"A81p1LTRyoq2rDR2TNxB2dWYxsiNwCSSi8sXef2SEkwb","USDT-BSC-PPT"
"YiNbofFzC17jEHHCMwrRcpy9MrrjabMMLZxg8g5xmf7","sWAVES"
"FmsB2B21fVVetWvZm7Q48cC2Bvs2hEZtft49TBn3guV1","CRV-ERC20-PPT"
